Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
SEA,1,38.6%,1,10-6,1,51.2%,1,19.7%,4,-14.8%,3,4.2%,1,12.6,1,32.2%,14,2.9%,3,11.8,21,15.0%
ARI,2,30.2%,20,13-3,6,21.7%,4,16.2%,2,-18.1%,29,-4.0%,3,12.0,3,31.0%,16,1.6%,2,12.1,31,22.9%
CIN,3,26.6%,13,12-4,5,22.3%,2,19.4%,10,-5.0%,8,2.2%,2,12.1,6,22.3%,13,3.1%,4,11.7,7,8.6%
CAR,4,25.5%,24,15-1,3,29.4%,7,10.5%,3,-17.3%,23,-2.4%,5,11.0,2,31.4%,32,-7.8%,1,12.4,18,14.1%
KC,5,25.5%,10,11-5,2,32.7%,6,13.1%,8,-10.4%,9,2.0%,4,11.4,5,24.0%,15,1.9%,6,11.2,29,18.1%
NE,6,22.6%,5,12-4,8,15.1%,5,15.4%,11,-3.4%,5,3.9%,6,10.8,4,24.2%,25,-4.8%,5,11.7,14,12.4%
PIT,7,20.4%,8,10-6,4,23.9%,3,17.7%,12,-2.6%,18,0.1%,7,10.7,8,18.5%,8,4.5%,7,10.7,9,9.4%
DEN,8,17.4%,2,12-4,7,17.6%,24,-8.5%,1,-25.2%,14,0.7%,8,10.6,9,17.3%,11,3.5%,10,9.7,13,11.4%
NYJ,9,11.7%,27,10-6,11,12.1%,14,1.6%,6,-13.0%,25,-2.9%,10,9.6,7,18.9%,30,-7.4%,8,10.0,12,10.7%
GB,10,8.7%,3,10-6,18,-2.6%,11,2.7%,9,-5.7%,17,0.4%,9,9.7,11,4.5%,5,5.3%,11,9.3,25,16.8%
MIN,11,5.8%,25,11-5,10,13.5%,15,0.5%,14,-1.4%,4,3.9%,11,9.5,10,6.1%,10,3.8%,9,9.8,23,16.3%
DET,12,5.0%,11,7-9,9,14.9%,13,1.7%,13,-2.3%,13,1.0%,15,7.9,16,-1.1%,12,3.4%,18,6.9,24,16.8%
BUF,13,0.9%,9,8-8,16,-1.2%,9,9.7%,24,10.3%,12,1.5%,12,8.5,12,3.9%,19,-1.2%,13,8.5,10,10.6%
STL,14,0.9%,17,7-9,17,-2.2%,29,-15.5%,5,-14.0%,7,2.4%,13,8.3,18,-5.0%,3,6.4%,20,6.5,20,14.6%
OAK,15,-0.6%,30,7-9,15,-0.7%,17,-1.3%,16,-0.8%,19,-0.1%,18,7.3,15,-0.4%,9,4.2%,17,6.9,8,8.9%
WAS,16,-0.8%,28,9-7,12,6.1%,12,2.0%,21,6.0%,6,3.2%,16,7.7,13,3.4%,24,-4.7%,14,8.2,27,17.3%
HOU,17,-2.4%,18,9-7,13,5.3%,25,-8.8%,7,-12.2%,32,-5.7%,14,8.1,14,3.1%,23,-3.9%,12,8.8,28,17.8%
BAL,18,-4.4%,4,5-11,20,-4.1%,21,-5.4%,22,6.3%,1,7.3%,19,7.2,21,-8.4%,7,4.7%,25,6.0,1,3.9%
CHI,19,-6.5%,26,6-10,14,0.2%,10,6.6%,31,11.9%,21,-1.2%,20,6.7,23,-11.1%,4,6.0%,22,6.3,6,8.5%
NYG,20,-7.4%,22,6-10,21,-8.0%,19,-1.8%,27,11.0%,2,5.4%,17,7.4,17,-4.4%,26,-4.9%,16,7.5,16,13.3%
TB,21,-9.5%,29,6-10,19,-3.2%,18,-1.5%,19,3.3%,30,-4.7%,22,6.5,20,-7.8%,29,-6.7%,24,6.0,26,17.0%
ATL,22,-12.3%,21,8-8,28,-18.4%,22,-7.2%,18,3.1%,22,-2.1%,23,6.4,19,-5.5%,31,-7.4%,15,7.8,3,7.2%
PHI,23,-12.7%,7,7-9,25,-17.4%,26,-10.5%,20,4.2%,10,1.9%,21,6.6,26,-14.2%,18,-0.7%,19,6.7,30,19.5%
IND,24,-14.0%,14,8-8,23,-14.5%,31,-15.9%,15,-1.4%,16,0.5%,28,5.4,25,-14.0%,21,-3.4%,26,6.0,17,13.4%
NO,25,-15.0%,15,7-9,22,-12.0%,8,9.8%,32,21.7%,26,-3.2%,24,5.7,22,-10.8%,22,-3.5%,21,6.4,15,12.8%
DAL,26,-16.0%,6,4-12,24,-17.1%,30,-15.8%,17,2.0%,11,1.8%,29,4.6,27,-17.4%,17,0.5%,29,5.2,2,4.5%
JAX,27,-16.7%,32,5-11,26,-17.9%,20,-5.2%,25,10.6%,20,-0.9%,26,5.6,24,-11.9%,28,-6.7%,23,6.2,11,10.6%
SD,28,-16.9%,19,4-12,27,-17.9%,16,-0.4%,29,11.2%,31,-5.3%,25,5.7,29,-18.3%,6,4.9%,27,5.9,5,8.4%
MIA,29,-21.1%,16,6-10,29,-20.7%,23,-7.4%,28,11.0%,24,-2.7%,27,5.6,28,-17.5%,20,-3.1%,28,5.8,32,25.9%
CLE,30,-24.1%,23,3-13,31,-25.0%,27,-13.2%,30,11.5%,15,0.7%,30,4.3,31,-31.6%,2,8.5%,31,4.0,4,8.1%
TEN,31,-28.1%,31,3-13,32,-34.1%,32,-15.9%,23,8.4%,28,-3.8%,31,4.2,30,-26.9%,27,-5.5%,30,4.8,22,16.0%
SF,32,-28.3%,12,5-11,30,-23.8%,28,-13.9%,26,10.8%,27,-3.6%,32,3.9,32,-32.6%,1,9.5%,32,3.8,19,14.2%

